Gene_name,Ensembl_ID,normal_to_luad_shift,normal_to_lusc_shift,normal_to_luad_cells,normal_to_lusc_cells,detected_cells,maximum_coverage_gene
FBLN1,ENSG00000077942,0.1153658227995038,0.0269299380015581,32.0,32.0,32.0,False
HSPA1B,ENSG00000204388,0.0289147901762852,0.0140052259072963,641.0,641.0,641.0,True
MGP,ENSG00000111341,0.0388515422373642,0.0111745799903148,81.0,81.0,81.0,False
SFTPA1,ENSG00000122852,0.0344895037141308,0.0188511468525697,134.0,134.0,134.0,False
SFTPA2,ENSG00000185303,0.0231198800571319,0.0114882708676443,131.0,131.0,131.0,False
SFTPC,ENSG00000168484,0.1644081718338433,0.0472992901119493,465.0,465.0,465.0,True
