comparison,comparison_label,level,held_out_donor,n_donors_in_fold,top50_overlap,top50_retained_n,fold_overlap_ge_70,token,n_folds,frac_folds_retained_in_top50,gene_retained_in_70pct_folds
lusc_to_luad,LUSC → LUAD,fold,Wu_Zhou_2021_P19,4,0.78,39,True,,5,,
lusc_to_luad,LUSC → LUAD,fold,Wu_Zhou_2021_P26,4,0.68,34,False,,5,,
lusc_to_luad,LUSC → LUAD,fold,Wu_Zhou_2021_P30,4,1.0,50,True,,5,,
lusc_to_luad,LUSC → LUAD,fold,Wu_Zhou_2021_P31,4,0.92,46,True,,5,,
lusc_to_luad,LUSC → LUAD,fold,Wu_Zhou_2021_P7,4,0.7,35,True,,5,,
lusc_to_luad,LUSC → LUAD,comparison,,4,0.8160000000000001,,0.8,,5,,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,15286,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,19008,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,15578,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,5945,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,10769,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,4,,12589,5,0.8,True
lusc_to_luad,LUSC → LUAD,gene,,4,,4,,17345,5,0.8,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,11945,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,8314,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,15038,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,16314,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,4,,13635,5,0.8,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,5392,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,768,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,6620,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,12372,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,5395,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,7206,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,8309,5,1.0,True
lusc_to_luad,LUSC → LUAD,gene,,4,,4,,16087,5,0.8,True
lusc_to_luad,LUSC → LUAD,gene,,4,,5,,10774,5,1.0,True
