comparison,comparison_label,source,goal,token,Ensembl_ID,Gene_name,n_donors_evaluable,n_donors_nonzero,n_cells_total,median_cells_per_donor,median_donor_effect,mean_donor_effect,min_donor_effect,max_donor_effect,n_donors_positive,n_donors_negative,sign_concordance,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero,same_direction_pass_70
normal_to_lusc,NORMAL → LUSC,normal,lusc,5777,ENSG00000126767,ELK1,8,8,27,3.0,0.0026687979698181,0.0038553365572754,-0.0056830743948618,0.0215057482322057,5,3,0.625,-0.0011082044761029,0.0096157302001735,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,1088,ENSG00000069998,HDHD5,10,10,67,5.0,0.0026683933101594,0.0044549783700285,-0.0173147767782211,0.047963261604309,7,3,0.7,-0.0042007723267652,0.0161549049080593,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,15985,ENSG00000188827,SLX4,7,7,11,1.0,0.0026661157608032,-0.00480340855817,-0.0574805736541748,0.0224970523267984,4,3,0.5714285714285714,-0.0238183435917432,0.0099357437342405,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,15437,ENSG00000186130,ZBTB6,6,6,19,3.0,0.0026651600686212,0.0024520785340832,-0.0199430212378501,0.0264349579811096,3,3,0.5,-0.0094291909248568,0.0148773183011346,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,1756,ENSG00000088247,KHSRP,9,9,36,3.0,0.0026639040027345,0.0021343240179318,-0.0143014257773756,0.0126979351043701,6,3,0.6666666666666666,-0.0029727852011404,0.0064895586001258,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,10243,ENSG00000159915,ZNF233,1,1,1,1.0,0.0026635527610778,0.0026635527610778,0.0026635527610778,0.0026635527610778,1,0,1.0,0.0026635527610778,0.0026635527610778,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,10119,ENSG00000158856,DMTN,7,7,15,1.0,0.0026623122394084,0.00147102010392,-0.0416098162531852,0.0463116765022277,4,3,0.5714285714285714,-0.0161653301013367,0.0195923220543634,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,7379,ENSG00000137507,LRRC32,6,6,9,1.5,0.0026611592620611,0.0007361015304923,-0.013406403362751,0.0060004647821187,5,1,0.8333333333333334,-0.00540466113016,0.0047158238788445,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,7129,ENSG00000136167,LCP1,12,12,760,33.0,0.0026606935346235,0.0026693317811668,-0.0021608054637908,0.0055671855807304,11,1,0.9166666666666666,0.0014920594920064,0.0037012520352568,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,9160,ENSG00000150347,ARID5B,12,12,465,23.0,0.0026603965887283,0.0038148771845503,-0.0036166906356811,0.0153870321810245,10,2,0.8333333333333334,0.0010122126177598,0.0069308094861784,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,8097,ENSG00000142192,APP,9,9,51,3.0,0.0026554241776466,0.0009619336787536,-0.0154632925987243,0.0202853083610534,5,4,0.5555555555555556,-0.0047169600947736,0.0068599274289128,False,False
