comparison,comparison_label,source,term_id,term_name,adjusted_p_value,minus_log10_p,term_size,query_size,intersection_size,precision,recall,effective_domain_size,intersection_genes
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0035458,cellular response to interferon-beta,0.026370913442034842,1.5788748267494308,24,340,4,0.011764705882352941,0.16666666666666666,15023,CAPN2;ID2;PTPRC;SRSF4
normal_to_luad,NORMAL → LUAD,GO:BP,GO:1901623,regulation of lymphocyte chemotaxis,0.026370913442034842,1.5788748267494308,24,340,4,0.011764705882352941,0.16666666666666666,15023,CCL21;CCL4;KLRD1;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0070233,negative regulation of T cell apoptotic process,0.026370913442034842,1.5788748267494308,24,340,4,0.011764705882352941,0.16666666666666666,15023,BCL11B;BCL2;IL10RA;TRABD2A
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0009058,biosynthetic process,0.02810427423463658,1.5512276254559845,6429,340,172,0.5058823529411764,0.026753771970757505,15023,ACKR1;ACTB;ACTG1;ADRB2;AKR1C3;ANXA1;ANXA2;APBA2;ARID5B;ARL6IP4;ARPP19;ATP5ME;ATP5MK;BATF;BCL11B;BCL2;BIN1;CAPN2;CASP8;CCL21;CCN1;CCND3;CCNH;CD40LG;CD55;CD7;CD99;CDK12;CEMIP2;CFD;CH25H;CLDND1;CLNS1A;CMC1;CNOT6L;COX4I1;CRYZL1;CYTIP;DDIT4;DNAJB1;DPM2;DSTN;DYNC1I2;EEF1D;EEF1G;EGLN2;EIF3J;EIF4B;EIF4EBP1;ERCC5;ETS1;FAM76A;FAS;FBXO32;FKBP11;GIMAP5;GLUL;GYPC;GZMK;H1-2;H1-3;HAUS4;HBA2;HCLS1;HERPUD1;HLA-DPA1;HMGB2;HNRNPA1;HSPA1A;HSPA1B;HSPA6;ID2;IER2;IFI16;IFNGR1;IGFBP6;IKZF1;IL10RA;IL7R;ISG20;ITGB1;ITGB2;ITK;KLRD1;KLRG1;LEF1;LITAF;LPCAT4;LUC7L;MGP;MIF;MOB1A;MRPL23;MRPL38;MTFP1;NACA2;NBEAL1;NDUFA3;NDUFB1;NFKBIA;NFKBIZ;NIBAN1;NKTR;NOL12;NPDC1;OSTF1;OXLD1;PABPC1;PARP8;PATL2;PELI1;PHLDA1;PIK3IP1;PIK3R1;PIM2;PLA2G2A;PPDPF;PPP1R2;PRDM1;PTGER2;PTPRC;RAB8B;RASSF4;RCBTB2;RGS1;RHOB;RIPOR2;RNF19A;RORA;RPL34;RPL36A;RPL41;RPL9;RPLP1;RPP21;RPS14;RPS2;RPS26;RPS27;S100A8;S100A9;SARNP;SELL;SLC25A5;SLPI;SMCHD1;SNX1;SOCS1;SPON2;SPSB3;SRGN;SRSF4;STOM;SYTL3;TMA7;TMEM35B;TMSB10;TMSB4X;TRABD2A;TRAPPC5;TSPYL2;TTC16;TUBA4A;TXK;TXNIP;UPP1;USP53;VMP1;VSIR;XBP1;XCL1;YAF2
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0002768,immune response-regulating cell surface receptor signaling pathway,0.02810427423463658,1.5512276254559845,312,340,16,0.047058823529411764,0.05128205128205128,15023,BCL2;BTLA;CD8B;IER2;ITGB1;KLF6;KLF9;KLRD1;NDUFA3;NDUFB1;PATL2;PHLDA1;PTGER2;TMEM35B;TOMM5;TSPYL2
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,0.02810427423463658,1.5512276254559845,79,340,7,0.020588235294117647,0.08860759493670886,15023,BCL2;DCTN5;EIF4EBP1;ID2;MGP;MTFP1;PPDPF
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0009636,response to toxic substance,0.028738762738962552,1.5415319330427033,201,340,12,0.03529411764705882,0.05970149253731343,15023,BCL2;CCL4;GPR171;HAUS4;IL18R1;MRPL53;MRPS17;MT1E;PIK3IP1;S100A4;SEPTIN7;SNX1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0010001,glial cell differentiation,0.028738762738962552,1.5415319330427033,201,340,12,0.03529411764705882,0.05970149253731343,15023,BIN1;C1QA;CLNS1A;CXCL2;HSPA1B;IER2;IFI16;KLRG1;PIM2;S100A12;S100A4;TRAT1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0002820,negative regulation of adaptive immune response,0.028738762738962552,1.5415319330427033,59,340,6,0.01764705882352941,0.1016949152542373,15023,CD69;IL10RA;KLF9;KLRK1;PTGER2;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:1990169,stress response to copper ion,0.029215494435243836,1.534386759407418,12,340,3,0.008823529411764706,0.25,15023,MRPL53;MRPS17;MT1E
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0010273,detoxification of copper ion,0.029215494435243836,1.534386759407418,12,340,3,0.008823529411764706,0.25,15023,MRPL53;MRPS17;MT1E
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0002286,T cell activation involved in immune response,0.029453970638914646,1.530856150441173,102,340,8,0.023529411764705882,0.0784313725490196,15023,ANXA1;BATF;CD69;IKZF1;KLRG1;KLRK1;NDUFB1;RIPOR2
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0071674,mononuclear cell migration,0.02951278672658613,1.5299897805766889,202,340,12,0.03529411764705882,0.0594059405940594,15023,ANXA1;CCL21;CCL4;CD69;CFD;CXCL2;KLRD1;MGP;OSTF1;RHOH;RTKN2;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0070227,lymphocyte apoptotic process,0.02951278672658613,1.5299897805766889,80,340,7,0.020588235294117647,0.0875,15023,BCL11B;BCL2;FAM76A;IL10RA;MGP;NDUFB1;TRABD2A
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0010661,positive regulation of muscle cell apoptotic process,0.029764505410532847,1.526301329616881,25,340,4,0.011764705882352941,0.16,15023,CAPN2;IER2;PSME4;SNX1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0002429,immune response-activating cell surface receptor signaling pathway,0.029955810484616624,1.5235189256401354,286,340,15,0.04411764705882353,0.05244755244755245,15023,BCL2;CD8B;IER2;ITGB1;KLF6;KLF9;KLRD1;NDUFA3;NDUFB1;PATL2;PHLDA1;PTGER2;TMEM35B;TOMM5;TSPYL2
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0043123,positive regulation of canonical NF-kappaB signal transduction,0.0302179323315221,1.519735255673095,203,340,12,0.03529411764705882,0.059113300492610835,15023,AKAP13;BIRC3;CASP8;CCL21;CD40LG;KLRK1;LEF1;PATL2;PIK3R1;RTKN2;RUFY2;TUBA4A
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0002221,pattern recognition receptor signaling pathway,0.0302179323315221,1.519735255673095,258,340,14,0.041176470588235294,0.05426356589147287,15023,BIRC3;HMGB2;HNRNPA1;NDUFA3;NDUFB1;PARP8;PATL2;PHLDA1;S100A12;S100A4;SCGB1A1;SOD2;SRSF4;TMEM35B
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0030225,macrophage differentiation,0.0302179323315221,1.519735255673095,60,340,6,0.01764705882352941,0.1,15023,CASP8;HBA2;HSPA1B;IER2;SMCHD1;TRAT1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0031669,cellular response to nutrient levels,0.0302179323315221,1.519735255673095,230,340,13,0.03823529411764706,0.05652173913043478,15023,AKR1C3;BCL2;FAM76A;G0S2;GIMAP5;HLA-DPA1;ID2;PIK3IP1;RHOB;SEPTIN7;SLC25A5;TXNIP;USP53
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0051701,biological process involved in interaction with host,0.03022947601385196,1.5195693806509931,151,340,10,0.029411764705882353,0.06622516556291391,15023,CD55;CFD;CXCL2;DPM2;FAS;HMGB2;HNRNPA1;IPCEF1;KLRK1;OSTF1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0006310,DNA recombination,0.030341837490124857,1.517958122044422,316,340,16,0.047058823529411764,0.05063291139240506,15023,ACTB;BATF;BCL11B;CD40LG;EMP1;GZMK;H1-2;H1-3;HERPUD1;IL10RA;KLRG1;NDUFB1;PATL2;PTGER2;SLC2A3;SLPI
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0072676,lymphocyte migration,0.030341837490124857,1.517958122044422,103,340,8,0.023529411764705882,0.07766990291262135,15023,CCL21;CCL4;CD69;CFD;KLRD1;OSTF1;RHOH;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0071383,cellular response to steroid hormone stimulus,0.030488648109726065,1.5158618321614334,177,340,11,0.03235294117647059,0.062146892655367235,15023,AKR1C3;ANXA1;CNOT6L;DCTN5;EEF2;FBLN1;HMGB2;HNRNPA1;ITK;NOL12;PRDM1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0045595,regulation of cell differentiation,0.031041106976011316,1.5080627994950029,1292,340,45,0.1323529411764706,0.0348297213622291,15023,ACTB;ANXA1;ANXA2;AREG;BATF;BCL11B;BCL2;BIN1;CASP8;CCN1;CD69;CD99;CXCL2;ERCC5;GIMAP5;GPAT4;HBA2;HERPUD1;HMGB2;HNRNPA1;HSPA1B;IER2;IL10RA;IPCEF1;KLRG1;KLRK1;MTFP1;NDUFA3;NDUFB1;PHLDA1;PIK3IP1;PIM1;PPP1R2;PTGER2;RGS1;RHOH;RIPOR2;SMCHD1;SNX1;SOD2;SSH2;TMSB4X;UPP1;USP53;XBP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0070665,positive regulation of leukocyte proliferation,0.031190964082956817,1.5059712014070938,152,340,10,0.029411764705882353,0.06578947368421052,15023,ANXA1;BCL2;CD320;CD40LG;CD55;HCLS1;MGP;PATL2;PTGER2;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0010720,positive regulation of cell development,0.031190964082956817,1.5059712014070938,377,340,18,0.052941176470588235,0.04774535809018567,15023,ACTB;ANXA1;BCL2;BIN1;CASP8;CXCL2;HBA2;HSPA1B;IER2;IL10RA;IPCEF1;KLRG1;NDUFB1;PTGER2;RGS1;SMCHD1;UPP1;USP53
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0050777,negative regulation of immune response,0.03150060793446353,1.501681064621982,178,340,11,0.03235294117647059,0.06179775280898876,15023,ANXA1;CD55;CD69;ID2;IL10RA;KLF9;KLRK1;PIK3IP1;PTGER2;TMEM35B;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0031343,positive regulation of cell killing,0.03192580434045744,1.4958581522878267,61,340,6,0.01764705882352941,0.09836065573770492,15023,KLF6;KLF9;KLRD1;PPP2R5C;PTGER2;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0045058,T cell selection,0.03192580434045744,1.4958581522878267,61,340,6,0.01764705882352941,0.09836065573770492,15023,BATF;BCL11B;BCL2;CD69;KLRK1;PTGER2
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0019730,antimicrobial humoral response,0.03229935452418311,1.490806156597272,82,340,7,0.020588235294117647,0.08536585365853659,15023,CCL21;CCL4;RTKN2;S100A4;SLC38A2;SOCS1;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0071356,cellular response to tumor necrosis factor,0.032538387216879315,1.4876039769113898,179,340,11,0.03235294117647059,0.061452513966480445,15023,BIRC3;CASP8;EIF4EBP1;ETS1;FAM76A;HMGB2;HNRNPA1;NDUFA3;RIPOR2;TMA7;TMEM35B
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0042742,defense response to bacterium,0.032700730562126676,1.4854425447233184,206,340,12,0.03529411764705882,0.05825242718446602,15023,HERPUD1;IL10RA;KLRD1;LSAMP;NDUFB1;PIM1;RTKN2;S100A12;S100A4;SLC38A2;SOCS1;TMSB10
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0010648,negative regulation of cell communication,0.032700730562126676,1.4854425447233184,1261,340,44,0.12941176470588237,0.034892942109436956,15023,ADRB2;ARRDC1;ARRDC3;BCL2;CASP8;CLNS1A;CNOT6L;CYTIP;DCTN5;DSTN;FAS;HBB;HERPUD1;HMGB2;HNRNPA1;IFNG;IPCEF1;LEF1;LUC7L;MGP;MTFP1;NDUFA3;PARP8;PATL2;PFN1;PSME4;PTGER2;RCSD1;RGS1;RHOH;RIPOR2;RPS29;SCGB1A1;SEPTIN7;SH3BP5;SMCHD1;SNX1;SOD2;SSH2;TMA7;TMEM35B;TMSB4X;TNFSF8;USP53
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0018208,peptidyl-proline modification,0.032700730562126676,1.4854425447233184,26,340,4,0.011764705882352941,0.15384615384615385,15023,EEF2;FBXO32;NFKBIZ;OSTF1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0001909,leukocyte mediated cytotoxicity,0.03335982889018825,1.4767761856193595,129,340,9,0.026470588235294117,0.06976744186046512,15023,IL10RA;KLF6;KLF9;KLRD1;LSAMP;PHLDA1;PPP2R5C;PTGER2;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0032273,positive regulation of protein polymerization,0.033945278818243274,1.4692206197859605,83,340,7,0.020588235294117647,0.08433734939759036,15023,ARF6;BIN1;CCL21;HMGB2;HNRNPA1;PELI1;RHOB
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0050672,negative regulation of lymphocyte proliferation,0.033945278818243274,1.4692206197859605,83,340,7,0.020588235294117647,0.08433734939759036,15023,BTLA;PATL2;PIM1;RHOH;S100A9;UPP1;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0061756,leukocyte adhesion to vascular endothelial cell,0.03406113549786597,1.4677408780340935,43,340,5,0.014705882352941176,0.11627906976744186,15023,CCL21;ERCC5;IPCEF1;ISG20;SEC61G
normal_to_luad,NORMAL → LUAD,GO:BP,GO:1901741,positive regulation of myoblast fusion,0.034319226954273765,1.464462503261395,13,340,3,0.008823529411764706,0.23076923076923078,15023,CAPN2;CD53;RHOH
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0045651,positive regulation of macrophage differentiation,0.034319226954273765,1.464462503261395,13,340,3,0.008823529411764706,0.23076923076923078,15023,CASP8;HBA2;HSPA1B
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0071222,cellular response to lipopolysaccharide,0.03439245706284943,1.4635367962419918,181,340,11,0.03235294117647059,0.06077348066298342,15023,CAPN2;CD55;HERPUD1;KLRD1;LEF1;MGP;NDUFA3;NDUFB1;SOCS1;TMEM35B;USP53
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0050792,regulation of viral process,0.03439245706284943,1.4635367962419918,130,340,9,0.026470588235294117,0.06923076923076923,15023,BCL2;CFD;ID2;IL7R;KLRK1;OSTF1;OXLD1;SLC38A2;ST6GALNAC6
normal_to_luad,NORMAL → LUAD,GO:BP,GO:1903900,regulation of viral life cycle,0.03439245706284943,1.4635367962419918,106,340,8,0.023529411764705882,0.07547169811320754,15023,BCL2;CFD;ID2;IL7R;KLRK1;OSTF1;OXLD1;SLC38A2
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0002440,production of molecular mediator of immune response,0.03444997570624783,1.4628110800160428,208,340,12,0.03529411764705882,0.057692307692307696,15023,BATF;CD40LG;CD55;CD7;IKZF1;LEF1;MGP;NDUFB1;PTGER2;SOCS1;USP53;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0034021,response to silicon dioxide,0.03514101361728799,1.4541857157477778,4,340,2,0.0058823529411764705,0.5,15023,S100A9;SNX1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0032945,negative regulation of mononuclear cell proliferation,0.03514101361728799,1.4541857157477778,84,340,7,0.020588235294117647,0.08333333333333333,15023,BTLA;PATL2;PIM1;RHOH;S100A9;UPP1;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0051093,negative regulation of developmental process,0.03514101361728799,1.4541857157477778,741,340,29,0.08529411764705883,0.03913630229419703,15023,ACTB;ADRB2;ANXA1;AREG;ARF6;BCL2;CD69;CD99;CSKMT;CYTIP;GPAT4;HSPA1B;IER2;IPCEF1;KLRG1;KLRK1;LPCAT4;MTFP1;NDUFA3;PHLDA1;RIPOR2;SMCHD1;SNX1;SOD2;SPON2;SSH2;TMSB4X;USP53;XBP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:1902905,positive regulation of supramolecular fiber organization,0.03514101361728799,1.4541857157477778,156,340,10,0.029411764705882353,0.0641025641025641,15023,ARF6;BIN1;CCL21;CLNS1A;DPP4;HMGB2;HNRNPA1;PELI1;PTPN1;RHOB
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0033153,T cell receptor V(D)J recombination,0.03514101361728799,1.4541857157477778,4,340,2,0.0058823529411764705,0.5,15023,BCL11B;KLRG1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0006931,"substrate-dependent cell migration, cell attachment to substrate",0.03514101361728799,1.4541857157477778,4,340,2,0.0058823529411764705,0.5,15023,FAS;SSH2
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0017014,protein nitrosylation,0.03514101361728799,1.4541857157477778,4,340,2,0.0058823529411764705,0.5,15023,S100A12;S100A4
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0010716,negative regulation of extracellular matrix disassembly,0.03514101361728799,1.4541857157477778,4,340,2,0.0058823529411764705,0.5,15023,CSKMT;DPM2
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0018119,peptidyl-cysteine S-nitrosylation,0.03514101361728799,1.4541857157477778,4,340,2,0.0058823529411764705,0.5,15023,S100A12;S100A4
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0002681,somatic recombination of T cell receptor gene segments,0.03514101361728799,1.4541857157477778,4,340,2,0.0058823529411764705,0.5,15023,BCL11B;KLRG1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0019511,peptidyl-proline hydroxylation,0.03514101361728799,1.4541857157477778,4,340,2,0.0058823529411764705,0.5,15023,EEF2;OSTF1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0021943,formation of radial glial scaffolds,0.03514101361728799,1.4541857157477778,4,340,2,0.0058823529411764705,0.5,15023,IPCEF1;KLRG1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0002568,somatic diversification of T cell receptor genes,0.03514101361728799,1.4541857157477778,4,340,2,0.0058823529411764705,0.5,15023,BCL11B;KLRG1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:0002710,negative regulation of T cell mediated immunity,0.03515148349720471,1.4540563417379102,27,340,4,0.011764705882352941,0.14814814814814814,15023,IL10RA;KLF9;PTGER2;VMP1
normal_to_luad,NORMAL → LUAD,GO:BP,GO:2000319,regulation of T-helper 17 cell differentiation,0.03515148349720471,1.4540563417379102,27,340,4,0.011764705882352941,0.14814814814814814,15023,BATF;CD69;KLRK1;NDUFB1
