Model,Model_Version,Training_Task,Training_Dataset,Number_of_Cells,Number_of_Classes,Celltype_Silhouette,Disease_Silhouette,Donor_Silhouette,Notes,Learning_Rate,Epochs,Frozen_Layers,Train_Batch_Size,Forward_Batch_Size,Mean_Donor_Purity,Median_Donor_Purity,Expected_Donor_Purity,Adjusted_Donor_Purity,Median_Donor_Enrichment,Parent_Model
Stage 1 Cell-type,Geneformer V2,9-class cell type classification,01_primary_celltype,27000,9,0.461,-0.023,-0.373,Initial cell-type fine-tuning,0.0001,1.0,6.0,8.0,16.0,0.1336,0.1,0.0069,0.1267,14.118,
Stage 2 Disease,Geneformer V2,4-class disease classification,02_disease,20000,4,-0.062,0.241,-0.105,Non-sequential fine-tuning from Stage 1 (non-overlapping training subset),5e-05,1.0,6.0,8.0,16.0,0.297,0.2333,0.0078,0.2892,34.188,BaseV2Geneformer
